,0
25,"To describe enhanced depth imaging optical coherence tomography findings of choroidal osteoma. Retrospective, observational case series of 15 eyes with choroidal osteoma imaged with EDI-OCT. The mean age at presentation was 27 years. There were 10 women and 3 men. The visual acuity ranged from 20/20 to hand motion, with reduced visual acuity secondary to photoreceptor loss in the foveola (n = 5) or subfoveal fluid (n = 1), and additional choroidal neovascular membrane (n = 3). The mean basal tumor diameter was 8.0 mm, and ultrasonographic thickness was 1.5 mm. Using enhanced depth imaging optical coherence tomography, the mean tumor thickness was 589 μm when compared with a matched choroidal region in the unaffected eye of 247 μm (138% increased thickness) (P = 0.009). The tumor surface topography was classified (ultrasonography vs. enhanced depth imaging optical coherence tomography) as flat (87 vs. 13%), dome (13 vs. 40%), or undulating (0 vs. 47%). On enhanced depth imaging optical coherence tomography, unique features included horizontal lamellar lines (presumed bone lamella) (n = 15, 100%) and hyperreflective horizontal lines (presumed cement lines) (n = 8, 53%). Other features included horizontal tubular lamella with optically empty center (presumed Haversian canals or vascular channels) (n = 9, 60%), vertical tubular lamella (presumed Volkmann canals or vascular channels) (n = 2, 13%), and speckled regions (presumed compact or small trabecular bone) (n = 6, 40%). Of the nine eyes with subfoveolar osteoma, the tumor was completely ossified (n = 4), partially deossified (n = 2), or completely deossified (n = 3). Photoreceptor thinning/atrophy was found in all five eyes with deossified osteoma, whereas intact photoreceptor appearance was noted in the four eyes with ossified subfoveal osteoma.
Enhanced depth imaging optical coherence tomography reveals characteristic surface topography of choroidal osteoma as dome or undulating (87%) with unique intrinsic features of horizontal lamellar lines (100%), horizontal (60%) or vertical (13%) tubules, and speckled regions (40%). Photoreceptor loss was evident in every case of tumor deossification."
26,"We recently showed that miR-494 was downregulated in gastric carcinoma (GC). The objectives of this study were to determine the role of miR-494 in GC malignancy and to identify its target genes. Real-time polymerase chain reaction was employed to quantify the expression level of miR-494 and c-myc in gastric cancer tissues. Bioinformatics was used to predict the downstream target genes of miR-494, which were confirmed by luciferase and RNA immunoprecipitation assays. Cell functional analyses and a xenograft mouse model were used to evaluate the role of miR-494 in malignancy. miR-494 was downregulated in human GC tissues and in GC cells and was negatively correlated with c-myc expression. High level of c-myc or low level of miR-494 correlated with poor prognosis. The miR-494-binding site in the c-myc 3' untranslated region was predicted using TargetScan and was confirmed by the luciferase assay. Additionally, c-myc and miR-494 were enriched in coimmunoprecipitates with tagged Argonaute2 proteins in cells overexpressing miR-494. Furthermore, a miR-494 mimic significantly downregulated endogenous c-myc expression, which may contribute to the delayed G1/S transition, decreased synthesis phase bromodeoxyuridine incorporation, and impaired cell growth and colony formation; on the other hand, treatment with a miR-494 inhibitor displayed the opposite effects. Reduced tumor burden and decreased cell proliferation were observed following the delivery of miR-494 into xenograft mice.
miR-494 is downregulated in human GC and acts as an anti-oncogene by targeting c-myc. miR-494 plays a role in the pathogenesis of gastric cancer in a recessive fashion."
27,"THE OBJECTIVES OF THIS STUDY INCLUDE: (1) Determination of the attenuation of strike acceleration that Tae Kwon Do sparring safety pads provide from kicks from Olympic style TKD fighters, (2) The sex and weight differentiation in acceleration achieved within the thorax model with the roundhouse kicks. This prospective, observational study utilized 15 Olympic style fighters from an ""elite"" team kicking a water core heavy bag thorax model with roundhouse kicks. The model was fitted with a tri-axial accelerometer (GCDC, model X250-2) to measure g acceleration from strikes to the bag. The bag was kicked in three, 10 kick phases by all subjects: kicks without padding; kicks with hogu on heavy bag, and kicks with hogu and instep guards on feet. The g acceleration readings were recorded in all phases. Kolmogorov-Smirnov failed for all variables. There were 8 female subjects: median age 14 years, median weight 53.4 kg and 7 male subjects: median age 17 years, median weight 70.45 kg. The ANOVA on ranks of the acceleration from kicks against the bag achieved significance, P=0.001. Spearman rank order correlation between the weights of players and acceleration of strike against the hogu without and with insteps pads was significant, P=0.035/r=0.54 and P=0.018/r=0.59, respectively.
Heavier and male subjects tend to produce more force in strikes. Protective chest guard reduces acceleration to the thorax model, but the utility of instep guards is questionable."
28,"The configuration of the distal surface of the femur would be more important in terms of the patellofemoral (PF) joint contact because the patella generally contacts with the distal surface of the femur in knee flexion. Some total knee arthroplasty (TKA) designs configurate medially prominent asymmetric femoral condyles. This difference in the design of distal femoral condyle may affect the PF joint congruity in knee flexion. Furthermore, some surgeons advocate a concept aligning the symmetric components parallel to the native joint inclination, not perpendicular to the mechanical axis. This concept would also make a difference on the PF joint congruity at the distal femur in knee flexion. However, no fundamental study has been reported on the PF congruity at the distal femur to discuss the theoretical priority of these concepts. The current study investigated the angular relationship between the tibial attachment of the patellar tendon and the distal surface of the femur at 90° of flexion in normal knees. The open magnetic resonance images of 45 normal knees at 90° of flexion were used to measure the angles between the tibial attachment of the patellar tendon, the equatorial line of the patella, and the distal surface of femoral condyles. The distal surface of femoral condyles was internally rotated relative to the tibial attachment of the patellar tendon and the equatorial line of the patella in all the knees (8.2° ± 3.5° and 5.8° ± 2.5°, respectively), not parallel.
Distal femoral condyle is internally rotated to the patellar tendon at 90° of flexion in normal knees. When the symmetric femoral component is aligned perpendicular to the femoral mechanical axis, the patellar tendon would be possibly more twisted than the condition in normal knees, and the deviation of the PF contact force on the patellar component might be caused. The configuration and alignment of the distal condyle of the femoral component can affect the PF joint congruity in knee flexion. In this respect, our results provide important information in considering designs and alignment in the distal femur of TKA and the PF joint congruity in knee flexion."
29,"Vitamin D has been added to calcium-fortified orange juice. It is unknown whether vitamin D is as bioavailable from orange juice as it is from supplements. The objective was to compare the bioavailability of vitamin D(2) and vitamin D(3) from orange juice with that from vitamin D(2) and vitamin D(3) supplements. A secondary aim was to determine which form of vitamin D is more bioavailable in orange juice. A randomized, placebo-controlled, double-blind study was conducted in healthy adults aged 18-84 y (15-20/group) who received 1000 IU vitamin D(3), 1000 IU vitamin D(2), or placebo in orange juice or capsule for 11 wk at the end of winter. A total of 64% of subjects began the study deficient in vitamin D (ie, 25-hydroxyvitamin D [25(OH)D]) concentrations <20 ng/mL). Analysis of the area under the curve showed no significant difference in serum 25(OH)D between subjects who consumed vitamin D-fortified orange juice and those who consumed vitamin D supplements (P = 0.084). No significant difference in serum 25(OH)D(3) was observed between subjects who consumed vitamin D(3)-fortified orange juice and vitamin D(3) capsules (P > 0.1). Similarly, no significant difference in serum 25(OH)D(2) was observed between subjects who consumed vitamin D(2)-fortified orange juice and vitamin D(2) capsules (P > 0.1). No significant overall difference in parathyroid hormone concentrations was observed between the groups (P = 0.82).
Vitamin D(2) and vitamin D(3) are equally bioavailable in orange juice and capsules."
30,"To determine whether the ""gatekeeper physician system"" for evaluating neuro-ophthalmologic problems is cost effective. The authors retrospectively reviewed the records of 588 patients referred for neuro-ophthalmologic evaluation between July and December 1989 to determine the frequency and cost of unnecessary diagnostic testing ordered by ""gatekeeper physicians."" Pre-referral diagnostic testing costs were compared with the cost of neurophthalmologic consultation for four common problems: (1) optic neuropathy; (2) diplopia; (3) ptosis; and (4) proptosis. Between 16% and 26% of patients in the first three diagnostic categories were subjected to overtesting, resulting in $57,900 of excessive costs, a 724% overcharge. Although the evaluation of proptosis was performed correctly, the quality of 10 of the 18 neuro-imaging procedures was substandard.
The gatekeeper system managed by primary care physicians for these four neuro-ophthalmologic problems not only did not conserve healthcare dollars but also had a negative impact on cost control. For neuro-ophthalmologic disorders, prompt subspecialty evaluation and examination appear to be a cost-effective strategy."
31,"To investigate the mechanisms for the cytopathic effect (CPE) of human cytomegalovirus (HCMV) in ECV304 endothelial-like cells. PCR and indirect immunofluorescence were used to detect HCMV infection by examining immediate-early (IE) gene and protein expression of the virus in ECV304 cells. Phase-contrast and electron microscopies were performed to observe the morphological changes of the infected and uninfected cells, and DNA ladder analysis and flow cytometry were carried out to study HCMV-induced cell apoptosis. In HCMV-infected ECV304 cells, cytopathic effects were first observed at approximately 72 h post-infection. The cells with CPE changes exhibited detachment from the monolayer, cell rounding and shrinkage. The expression of the IE gene was detected. Chromatin condensation and nuclear fragmentation along with dramatic changes of the mitochondria were observed by electron microscopy at 96 h post-infection. Cellular DNA fragmentation was observed in the infected cells, which had cells apoptotic rates of 4.1% and 45.7% at 96 h and 144 h post-infection, respectively.
HCMV can induce apoptosis of ECV304 endothelial-like cells."
32,"Enterovirus infections are among the environmental risk factors potentially contributing to the pathogenesis of Type 1 diabetes. The aim of this study was to evaluate virus-host interaction by analysing the enterovirus antibody levels in subjects carrying different HLA-DR alleles associated with either increased or decreased risk of Type 1 diabetes. Antibodies against coxsackievirus B4 were measured to study immune responses induced by natural enterovirus infections and against poliovirus 1 to study immune responses induced by immunisation by enterovirus antigens (vaccine). Antibodies against the mumps virus were measured as a control. Study subjects included siblings of children with Type 1 diabetes taking part in the Childhood Diabetes in Finland (DiMe) Study and carrying either HLA-DR risk (DR3 and/or DR4) or protective (DR2) alleles. Children with either the HLA-DR3 or HLA-DR4 allele and those with both these risk alleles had higher Coxsackie B4 antibody levels than children carrying the HLA-DR2 allele ( p=0.01, p=0.01 and p=0.008, respectively). High responders (IgG levels higher than 75 percent) were also more frequent among genetically susceptible children compared to children with the protective DR2 allele (27% vs 12%) ( p<0.009). The same trend was seen for poliovirus antibodies, while mumps antibody levels had a different pattern (high responders more common among DR2-positive subjects).
Diabetes-associated HLA-DR risk alleles were associated with a strong immune responsiveness and protective alleles with a weak responsiveness against enterovirus antigens. This phenomenon should be taken into consideration in serological case-control studies and it might play a role in virus-induced beta-cell damage."
33,"To evaluate the visual and anatomical outcomes of dexamethasone intravitreal implant (DXI; 700 μg, Ozurdex; Allergan, Irvine, California, USA) as adjunctive therapy for patients with refractory wet age-related macular degeneration (AMD). Retrospective review of the medical records of seven patients (seven eyes) who initially responded well to intravitreal ranibizumab but subsequently developed persistent intra/sub-retinal fluid (IRF/SRF) and underwent a single injection of DXI, between May 2012 and May 2013. Two weeks after DXI, the patients continued with their monthly ranibizumab injections. Best corrected visual acuity (BCVA) logarithm of the minimum angle of resolution (logMAR) and central retinal thickness (CRT) were recorded at baseline, 2 weeks, 6 weeks, 3 months and 6 months after DXI injection. Complications were recorded too. All patients had at least 24 months of ranibizumab treatment. Mean age was 81.5±5.8 years. At baseline, mean BCVA was 0.53±0.13 logMAR (20/70 Snellen) and mean CRT was 273.14±50.94 μm. BCVA did not change significantly after DXI over the follow-up period. However, all eyes had lost fewer than 0.3 logMAR units. Complete resolution of the persistent IRF/SRF was achieved in five eyes (71.4%) at 6 weeks, and remained stable at 3 months. Two weeks after DXI injection, the mean CRT diminished compared with baseline (248.28±31.8 µm; p=0.03) and the greatest reduction was observed at 3 months after DXI injection (241.5±36.6 µm; p=0.04). Progression of lens opacity was detected in one case (50% of phakic eyes). Retreatment with DXI was performed in two eyes.
DXI appears to be effective in vision stabilisation, decreasing IRF/SRF and improvement of CRT in eyes with refractory wet AMD."
34,"Stair negotiation is biomechanically more challenging than level gait. There are few biomechanical assessments of transtibial amputees descending stairs and none specifically related to falls. Stair descent may elicit more differences than level gait in amputees with and without a previous falls history. The aim of this study was to compare the gait kinematics of fallers and non-fallers during downwards step transitioning in transtibial amputees. Cross-sectional study. Six fallers and five non-fallers completed step transition trials on a three-step staircase at their self-selected pace. Nine participants exhibited a clear preference to lead with the affected limb, while two had no preference. Four participants self-selected a step-to rather than a reciprocal stair descent strategy. The fallers who used a reciprocal strategy walked 44% more quickly than the non-fallers. To compensate for the lack of active plantar flexion of the prosthetic foot, exaggerated range of motion occurred proximally at the pelvis during swing. The step-to group was more reliant on the handrails than the reciprocal group and walked more slowly.
As anticipated, the fallers walked faster than the non-fallers despite employing the more difficult 'roll-over' technique. Handrail use could help to improve dynamic control during downwards step transitions."
35,"The aim of our feasibility study was to examine the acceptability and utility of ""Dance Dance Revolution"" (DDR) (Konami of America, Redwood City, CA)) to increase physical fitness in 8-11-year-old black and Hispanic youth. Twenty-eight 4(th) and 5(th) grade children attending an afterschool program participated. Outcomes included physical activity, physical fitness, use of home DDR, survey of safety and acceptability, anthropometrics, and fasting metabolic profile measured at baseline, 12 weeks, and 30 weeks. At 12 weeks, physical fitness (maximum O2 uptake [VO2max]) increased by 4.9±9.9 percent and was sustained through 30 weeks, when the VO2max was 105.0±9.9 percent (range, 93.0-133.9 percent) of baseline values. Absolute VO2max increased by 2.97±4.99 mL/kg/minute (95% confidence interval 0.75-5.19, P=0.013). Participants maintained an average of 1.12 hours/day of increased movement to music. Trends suggested increased total moderate-vigorous physical activity, decreased light activity, and a modest increase in sedentary screen time. There were no significant changes in body mass index, fasting lipids, or glucose. Participants and parents approved of the activity.
DDR appears feasible and acceptable to minority youth. DDR may increase moderate-vigorous physical activity and improve physical fitness in at-risk populations."
36,"To determine the expression of proteasome aotivator gamma (REGgamma) in human lung cancer tissues and cell lines and its association with malignant biological behaviors. Immunohistochemistry (IHC) was used to detect the expression of REGgamma in lung cancer and normal lung tissues. The expressions of REGgamma in lung cancer cells and normal epithelial cells were determined by Western blot. The H1975 lung cancer stable cell lines with different levels of REGgamma expression were constructed and their proliferations were evaluated by MTT assay. PI staining was used to assess the influence of REGgamma on cell growth cycle. The effect of REGgamma on the migration of lung cancer cells were observed with the cell scratch experiment. Lung cancer tissues had significantly higher levels of REGgamma expression than normal tissues. Similarly, lung cancer cell lines showed higher levels of REGgamma expression than the normal epithelial cell line. The overexpression of REGgamma enhanced cancer cell proliferations (P < 0.05), promoted more cells into the S+G2/M phase (P < 0.05) and promoted the migration of cancer cells (P < 0.05). All of these effects were reversed after suppression of REGgamma.
REGgamma facilitates malignant biological behaviors of lung cancers."
37,"Well-differentiated follicular thyroid carcinomas (FTCs) usually act indolently, while aggressively acting tumors are difficult to detect early enough. Estrogen receptors (ERs) have prognostic significance in many cancers. Thyroid diseases, including neoplasms, are associated with the female sex. The prognostic significance of ERs in FTCs has not been reported previously. We studied the role of ERα and ERβ in 83 cases of follicular thyroid adenoma (FTA) and 43 FTC cases, including seven cases of poorly differentiated FTC, obtained from the Department of Surgery, Helsinki University Central Hospital between 1990 and 2009. Patient follow-up was conducted until March 2011. Expression of ERα, ERβ, and MIB-1/Ki-67 was investigated by immunohistochemistry and correlated with clinicopathological characteristics, including survival. Two major observations were apparent. First, ERβ expression was significantly higher in FTA than in FTC, and it was a stronger differential diagnostic marker than MIB-1/Ki-67. Second, low ERβ expression correlated with poor survival in FTC. All cancer-specific deaths due to FTC were among low ERβ-score patients.
ERβ is a differential marker for malignancy and could thus be used as a preoperative tool. FTC patients with a low ERβ score need more thorough follow-up and may benefit from more aggressive treatment."
38,"Poor growth has been described in patients with urea cycle enzyme defects treated with protein-restricted diets, while protein status is seldom reported. To assess the effects of nutritional therapy with a medical food on growth and protein status of patients with a urea cycle enzyme defect. A 6-mo multicenter outpatient study was conducted with infants and toddlers managed by nutrition therapy with Cyclinex-1 Amino Acid-Modified Medical Food with Iron (Ross Products Division, Abbott Laboratories, Columbus, OH). Main outcome variables were anthropometrics and plasma amino acids (selected), albumin, and transthyretin concentrations. Seventeen patients completed the study. Mean (+/-SE) baseline age was 11.30+/-3.20 months (median 4.40 months; range 0.22-38.84 months). Length and weight z-scores increased significantly during the 6-month study. Head circumference increased, but not significantly. Three patients were stunted and two were wasted (-2.0 z-score) at baseline while at study end, only one patient was both stunted and wasted. The majority of patients increased in length, head circumference, and weight z-scores during study. Mean (+/-SE) plasma albumin concentration increased from 34+/-2g/L at baseline to 38+/-1g/L at study end. Plasma transthyretin increased from a mean (+/-SE) of 177+/-13 mg/L at baseline to 231+/-15 mg/L at study end. No correlation was found between plasma NH(3) concentrations and medical food intake. Plasma NH(3) concentration was positively correlated with the percentage of Food and Agriculture Organization/World Health Organization/United Nations recommended protein ingested.
Intakes of adequate protein and energy for age result in anabolism and linear growth without increasing plasma NH(3) concentrations. Medical food intakes did not correlate with plasma NH(3) concentrations."
39,"Over 95% of all thyroid malignancies are non-medullary thyroid carcinomas (NMTC). Familial NMTC are more aggressive and mortality is higher as compared with sporadic carcinomas. Known genetic factors do not explain all familial NMTC. Recently, thyroid disorders have been observed in families with germline mutations in aryl hydrocarbon receptor interacting protein (AIP) but, due to frequent occurrence of these conditions in the population, the significance of this co-occurrence is not clear. AIM, SUBJECTS AND METHODS: To examine whether AIP is involved in familial NMTC, we performed AIP mutation screening in 93 familial NMTC cases. In addition, the AIP status was studied in one follicular thyroid adenoma patient with a known AIP mutation from an additional cohort. No potentially pathogenic changes were identified, but two likely rare polymorphisms were detected. AIP mutation-positive patient's follicular thyroid adenoma showed no loss of heterozygosity or lack of immunohistochemical AIP staining.
Our study indicates that germline AIP mutations are rare or do not exist in familial NMTC."
40,"We previously reported significant variations in oxidation status and molecular length among sources and lots of human serum albumin (HSA) commercial preparations intended for clinical use. In this report, we investigated what effect the presence of HSA products have on the immune response in vitro. Laboratory study. Trauma research basic science laboratory. Activated human peripheral blood mononuclear cells. Six commercial HSA preparations were tested for their effect on cytokine release from activated human peripheral blood mononuclear cells (PBMCs) and T-lymphocytes. Mass spectrometry analysis of aspartyl-alanyl diketopiperazine (DA-DKP) content of HSA and percentage of HSA having lost its amino terminal dipeptide aspartyl alanyl (HSA-DA) were correlated. Human PBMCs were cultured in the presence of six commercial HSA preparations and activated via the T-cell receptor complex. A cloned T-lymphocyte cell line, activated with specific antigen, was also cultured with both synthetic DA-DKP and small molecular weight extracts from the commercial HSA tested. Supernatants were quantified by enzyme-linked immunosorbent assay for interferon-gamma and tumor necrosis factor-alpha content. DA-DKP was extracted from HSA by centrifugal filters and quantified by anion exchange liquid chromatography coupled to negative electrospray ionization mass spectrometry. HSA species were determined by reverse phase liquid chromatography coupled to positive electrospray ionization, time of flight mass spectrometry. All HSA preparations significantly inhibited the in vitro production of interferon-gamma and tumor necrosis factor-alpha by activated PBMCs. DA-DKP was detected in all HSA sources at concentrations ranging between 42.0 and 79.6 microM. A synthetic form of DA-DKP possessed similar immunosuppressive qualities in a dose-dependent manner on T lymphocytes.
DA-DKP was present in significant concentrations in all HSA sources tested and was partially responsible for the immunosuppressive effects of HSA on activated PBMCs and T-lymphocytes in vitro. In view of these findings, administering HSA to immunocompromised critically ill patients might be reevaluated."
41,"Previous T2*-weighted magnetic resonance imaging (MRI) studies have used white matter lesion (WML) central veins to distinguish multiple sclerosis (MS) from its mimics. To be clinically applicable, the ""central vein sign"" needs to be detectable across different T2* sequences. Our objective was to determine if the central vein sign is reliably present in MS and absent in patients with ischemic small vessel disease (SVD) across different T2* sequences at 3T MRI. Ten patients with MS and 10 with SVD were each scanned on a 3 T Philips and GE scanner. The MRI protocol included 3-dimensional (3D) T2* GRE, T2* with high echo planar imaging (EPI) factor and susceptibility-weighted angiography (SWAN). Total WML numbers, central vein numbers, and proportion of WMLs with central veins were calculated using each sequence. Three blinded raters identified a subset of six WMLs with central veins to diagnose MS or SVD. Irrespective of the sequence, MS patients were identified based on a higher proportion of WMLs with central veins. This proportion was dependent on the T2* sequence used. T2* with high EPI allowed the highest median proportion (69.6%) in MS patients; 6.1% in SVD patients (P < .0004). Rater reproducibility varied depending on the T2* sequence used. T2* with high EPI produced good agreement with the clinical diagnosis (Cohen's kappa range; .78-.89), as did SWAN imaging with some raters; ĸ = .69.
The central vein sign can diagnose MS in the clinical setting of modern 3T scanners. However, variations in the T2* sequences need to be considered when defining a threshold for diagnosis."
42,"The red cell distribution width (RDW) has also been reported to reliably reflect the inflammation and nutrition status and predict the prognosis across several types of cancer, however, the prognostic value of RDW in esophageal carcinoma has seldom been studied. A retrospective study was performed to assess the prognostic value of RDW in patients with esophageal carcinoma by the Kaplan-Meier analysis and multivariate Cox regression proportional hazard model. All enrolled patients were divided into high RDW group (≧15%) and low RDW group (<15%) according to the detected RDW values. Clinical and laboratory data from a total of 179 patients with esophageal carcinoma were retrieved. With a median follow-up of 21months, the high RDW group exhibited a shorter disease-free survival (DFS) (p<0.001) and an unfavorable overall survival (OS) (p<0.001) in the univariate analysis. The multivariate analysis revealed that elevated RDW at diagnosis was an independent prognostic factor for shorter PFS (p=0.043, HR=1.907, 95% CI=1.020-3.565) and poor OS (p=0.042, HR=1.895, 95% CI=1.023-3.508) after adjustment with other cancer-related prognostic factors.
The present study suggests that elevated preoperative RDW(≧15%) at the diagnosis may independently predict poorer disease-free and overall survival among patients with esophageal carcinoma."
43,"Two genome-wide linkage surveys suggest chromosome 22q12 may contain a susceptibility locus for bipolar disorder (BPD) in the immediate region of the gene G protein receptor kinase-3 (GRK3). We previously published evidence that a single nucleotide polymorphism (SNP) in the promoter region of GRK3, designated P5, was associated with BPD. This SNP, however, was too rare (allele frequency 0.007) to explain the evidence for linkage. To identify other SNPs or haplotypes associated with illness, we have now sequenced an additional 28-kb genomic segment of GRK3 and tested an additional 35 SNPs for association with BPD in 181 Caucasian nuclear families. Transmission disequilibrium test analyses identified two closely related disease-associated haplotypes defined by four SNPs located upstream of the promoter region: transmission to nontransmission ratios=54:22 and 20:9, odds ratios=2.50 and 2.36, and P values=0.0009 and 0.05. The best P value remained significant after correction for multiple testing. These two haplotypes were found on an entirely different set of chromosomes from the previously identified SNP P5. They had a combined frequency of approximately 0.10 and, therefore, a much greater population attributable risk for disease than the previously identified P5 haplotype.
These data provide evidence that at least two distinct haplotypes, and possibly two or more different underlying mutations, in GRK3 might be associated with BPD. These new findings add support for the hypothesis that a dysregulation in GRK3 expression alters signaling desensitization and thereby predisposes to the development of BPD."
44,"Acute infectious gastroenteritis increases the risk for irritable bowel syndrome (IBS) and functional dyspepsia (FD). Children are particularly vulnerable to gastroenteritis because of the immaturity of their intestinal barrier, enteric nervous system, and immune response to pathogens. We investigated whether acute gastroenteritis in early life increases the risk of IBS and FD throughout adulthood. In 1994, we identified and monitored a single culture-proven foodborne Salmonella enteritidis outbreak that involved 1811 patients (mostly pediatric) in Bologna, Italy. Clinical data were collected and a prospective, controlled, cohort study was designed. Long-term effects were assessed by mailing a questionnaire to 757 subjects 16 years after the outbreak (when all of the children were adults). We randomly selected a cohort of 250 adults exposed to Salmonella as children, all 127 individuals exposed as adults, and a cohort of nonexposed participants matched for number, age, sex, and area of residence (controls). Among 198 exposed participants, 64 reported FD (32.3%), compared with 51 of 188 controls (27.1%; P = .268). Among 204 exposed participants, 75 reported having IBS (36.8%) compared with 44 of 189 controls (23.3%; P = .004). The odds ratio for IBS among people exposed to the Salmonella was 1.92 (95% confidence interval: 1.23-2.98). The prevalence of IBS was higher in individuals exposed Salmonella as children than in controls (35.3% vs 20.5%; P = .008), but not in individuals exposed as adults, compared with controls. After multivariate logistic regression, post-infectious IBS was independently associated with anxiety and FD.
Based on data collected from a single culture-proven foodborne Salmonella enteritidis outbreak in 1994, Salmonella-induced gastroenteritis during childhood (but not adulthood) is a risk factor for IBS."
45,"Thyroid cancer (TC) is the most common malignant cancer of the Endocrine System. Histologically, there are three main subtypes of TC: follicular, papillary and anaplastic. Diagnosing a thyroid tumor subtype with a high level of accuracy and confidence is still a difficult task because genetic, molecular and cellular mechanisms underlying the transition from differentiated to undifferentiated thyroid tumors are not well understood. A genome-wide analysis of these three subtypes of thyroid carcinoma was carried out in order to identify significant differences in expression levels as well as enriched pathways for non-shared molecular and cellular features between subtypes. Inhibition of matrix metalloproteinases pathway is a major event involved in thyroid cancer progression and its dysregulation may result crucial for invasiveness, migration and metastasis. This pathway is drastically altered in ATC while in FTC and PTC, the most important pathways are related to DNA-repair activation or cell to cell signaling events.
A progression from FTC to PTC and then to ATC was detected and validated on two independent datasets. Moreover, PTX3, COLEC12 and PDGFRA genes were found as possible candidates for biomarkers of ATC while GPR110 could be tested to distinguish PTC over other tumor subtypes. The genome-wide analysis emphasizes the preponderance of pathway-dysregulation mechanisms over simple gene-malfunction as the main mechanism involved in the development of a cancer phenotype."
46,"Perceived physician financial conflicts of interest of can affect patient trust. Payment to physicians for industry sponsored clinical trials in multiple sclerosis is a relatively new potential source of physician conflict of interest. There is limited available data on how physician payment for trial involvement in multiple sclerosis clinical trials may influence patient trust. To understand how patient trust is influenced by information about physician payment for multiple sclerosis clinical trials. An anonymous online instrument was developed. 597 people with multiple sclerosis participated in the study. The study found that 61% of patients who had not previously participated in a clinical trial estimated that they would have lower levels of trust in their physician if the physician was paid for involvement in their clinical trial. Among former clinical trial participants, 38% self-reported a lower level of trust. Other potential physician-industry relationships, such as industry consulting or giving industry-sponsored talks, also adversely affected trust, though to a lesser extent than physician payment for subject participation in clinical trials.
Results of this study demonstrate that physician payment for study participation in multiple sclerosis clinical trials is a potential conflict that can adversely affect patient trust."
47,"Liquid lung ventilation has been demonstrated to improve cardiorespiratory function after cardiopulmonary bypass. We hypothesized that liquid lung ventilation (LLV) would decrease the pulmonary inflammatory response after cardiopulmonary bypass (CPB). Prospective, randomized, experimental, controlled, nonblinded study. Animal research laboratory at a university setting. A total of 24 neonatal piglets. After intubation with a cuffed endotracheal tube, swine were conventionally ventilated. After surgical cannulation, each piglet was placed on conventional nonpulsatile CPB and cooled to 18 degrees C (64.4 degrees F). Subsequently, the animals were exposed to 90 mins of low-flow CPB (35 mL/kg/min). Animals were rewarmed to 37 degrees C (98.6 degrees F), removed from CPB, and ventilated for 90 min. Ten animals received conventional gas ventilation only (control), seven received initiation of LLV before CPB (prevention), and seven received initiation of LLV during the rewarming phase of CPB (treatment). After the animals were killed, the lungs were removed en bloc. The left lobe was dissected and formalin-fixed at 20 cm H2O overnight, followed by paraffin embedding. Sections were taken from the paraffin-embedded lungs. Neutrophil accumulation and lung injury were assessed by histochemical staining with leukocyte esterase and morphometrics, respectively. One hundred microscopic images were digitized from each tissue sample for lung morphometrics, and neutrophil counts were obtained from every fifth image. Lung tissue sections showed a significantly lower number of neutrophils per alveolar area in the prevention and treatment groups than in the control group (control 681 +/- 65, prevention 380 +/- 49, treatment 412 +/- 101 neutrophils per alveolar area [cells/mm2]; p <.05 for both prevention and treatment compared with control). There were no differences in lung injury as assessed with morphometrics or hemodynamic measurements between any of the three groups.
The data suggest that LLV reduces the CPB-induced neutrophil sequestration in the pulmonary parenchyma independent of its effects on the circulatory physiology or evidence of early lung injury."
48,"Management of rectal injuries in war-injured patients has evolved over time. Retrospective review of records of patients sustaining war-related rectal injuries admitted to Walter Reed Army Medical Center from Iraq and Afghanistan. From 2003 to 2011, 67 males ages 18 to 40 sustained rectal injuries after secondary blast (64%), gunshot (33%), motor vehicle crash (1%), or helicopter crash (1%). Injuries were extraperitoneal (72%), intraperitoneal (25%), or both (3%). Rectal abbreviated injury score mean was 3 ± 1. Surgical management included end colostomy (66%), loop colostomy (28%), and no diversion (4%). Distal washout (24%) and drain placement (33%) were performed. Colostomy closure occurred in 79% of patients at an average of 237 days after injury.
Diversion is the preferred treatment of war-related rectal injuries. Loop colostomy is acceptable unless there is potential for evolving rectal injury. Routine use of presacral irrigation and drainage was not supported."
